Image Model,Job,File Name,Face Index,Face File Name,Monk Label,Gender Presentation
DALL-E 3,Soldier,10.png,1,DALL-E 3_Soldier_10_face1.png,4,Masculine
DALL-E 3,Soldier,11.png,1,DALL-E 3_Soldier_11_face1.png,3,Feminine
DALL-E 3,Soldier,13.png,1,DALL-E 3_Soldier_13_face1.png,3,Masculine
DALL-E 3,Soldier,14.png,1,DALL-E 3_Soldier_14_face1.png,4,Feminine
DALL-E 3,Soldier,15.png,1,DALL-E 3_Soldier_15_face1.png,7,Feminine
DALL-E 3,Soldier,16.png,1,DALL-E 3_Soldier_16_face1.png,2,Feminine
DALL-E 3,Soldier,18.png,1,DALL-E 3_Soldier_18_face1.png,3,Feminine
DALL-E 3,Soldier,19.png,1,DALL-E 3_Soldier_19_face1.png,6,Feminine
DALL-E 3,Soldier,2.png,1,DALL-E 3_Soldier_2_face1.png,5,Feminine
DALL-E 3,Soldier,20.png,1,DALL-E 3_Soldier_20_face1.png,3,Masculine
DALL-E 3,Soldier,21.png,1,DALL-E 3_Soldier_21_face1.png,3,Feminine
DALL-E 3,Soldier,22.png,1,DALL-E 3_Soldier_22_face1.png,2,Feminine
DALL-E 3,Soldier,24.png,1,DALL-E 3_Soldier_24_face1.png,2,Feminine
DALL-E 3,Soldier,25.png,1,DALL-E 3_Soldier_25_face1.png,3,Feminine
DALL-E 3,Soldier,26.png,1,DALL-E 3_Soldier_26_face1.png,3,Feminine
DALL-E 3,Soldier,27.png,1,DALL-E 3_Soldier_27_face1.png,3,Feminine
DALL-E 3,Soldier,28.png,1,DALL-E 3_Soldier_28_face1.png,4,Feminine
DALL-E 3,Soldier,29.png,1,DALL-E 3_Soldier_29_face1.png,7,Feminine
DALL-E 3,Soldier,3.png,1,DALL-E 3_Soldier_3_face1.png,3,Masculine
DALL-E 3,Soldier,30.png,1,DALL-E 3_Soldier_30_face1.png,4,Masculine
DALL-E 3,Soldier,31.png,1,DALL-E 3_Soldier_31_face1.png,4,Feminine
DALL-E 3,Soldier,32.png,1,DALL-E 3_Soldier_32_face1.png,3,Feminine
DALL-E 3,Soldier,33.png,1,DALL-E 3_Soldier_33_face1.png,2,Feminine
DALL-E 3,Soldier,34.png,1,DALL-E 3_Soldier_34_face1.png,3,Feminine
DALL-E 3,Soldier,35.png,1,DALL-E 3_Soldier_35_face1.png,2,Masculine
DALL-E 3,Soldier,35.png,2,DALL-E 3_Soldier_35_face2.png,Indeterminiate,Masculine
DALL-E 3,Soldier,36.png,1,DALL-E 3_Soldier_36_face1.png,7,Feminine
DALL-E 3,Soldier,37.png,1,DALL-E 3_Soldier_37_face1.png,3,Masculine
DALL-E 3,Soldier,38.png,1,DALL-E 3_Soldier_38_face1.png,2,Feminine
DALL-E 3,Soldier,39.png,1,DALL-E 3_Soldier_39_face1.png,3,Masculine
DALL-E 3,Soldier,4.png,1,DALL-E 3_Soldier_4_face1.png,4,Feminine
DALL-E 3,Soldier,40.png,1,DALL-E 3_Soldier_40_face1.png,5,Feminine
DALL-E 3,Soldier,41.png,1,DALL-E 3_Soldier_41_face1.png,3,Indeterminiate
DALL-E 3,Soldier,41.png,2,DALL-E 3_Soldier_41_face2.png,3,Masculine
DALL-E 3,Soldier,42.png,1,DALL-E 3_Soldier_42_face1.png,4,Feminine
DALL-E 3,Soldier,43.png,1,DALL-E 3_Soldier_43_face1.png,4,Feminine
DALL-E 3,Soldier,44.png,1,DALL-E 3_Soldier_44_face1.png,3,Masculine
DALL-E 3,Soldier,45.png,1,DALL-E 3_Soldier_45_face1.png,4,Feminine
DALL-E 3,Soldier,46.png,1,DALL-E 3_Soldier_46_face1.png,2,Feminine
DALL-E 3,Soldier,47.png,1,DALL-E 3_Soldier_47_face1.png,3,Feminine
DALL-E 3,Soldier,48.png,1,DALL-E 3_Soldier_48_face1.png,7,Feminine
DALL-E 3,Soldier,49.png,1,DALL-E 3_Soldier_49_face1.png,3,Feminine
DALL-E 3,Soldier,5.png,1,DALL-E 3_Soldier_5_face1.png,3,Feminine
DALL-E 3,Soldier,50.png,1,DALL-E 3_Soldier_50_face1.png,2,Feminine
DALL-E 3,Soldier,51.png,1,DALL-E 3_Soldier_51_face1.png,4,Feminine
DALL-E 3,Soldier,52.png,1,DALL-E 3_Soldier_52_face1.png,3,Masculine
DALL-E 3,Soldier,53.png,1,DALL-E 3_Soldier_53_face1.png,2,Feminine
DALL-E 3,Soldier,53.png,2,DALL-E 3_Soldier_53_face2.png,2,Feminine
DALL-E 3,Soldier,54.png,1,DALL-E 3_Soldier_54_face1.png,4,Feminine
DALL-E 3,Soldier,55.png,1,DALL-E 3_Soldier_55_face1.png,3,Feminine
DALL-E 3,Soldier,55.png,2,DALL-E 3_Soldier_55_face2.png,3,Feminine
DALL-E 3,Soldier,56.png,1,DALL-E 3_Soldier_56_face1.png,8,Masculine
DALL-E 3,Soldier,57.png,1,DALL-E 3_Soldier_57_face1.png,4,Feminine
DALL-E 3,Soldier,58.png,1,DALL-E 3_Soldier_58_face1.png,3,Masculine
DALL-E 3,Soldier,59.png,1,DALL-E 3_Soldier_59_face1.png,2,Feminine
DALL-E 3,Soldier,6.png,1,DALL-E 3_Soldier_6_face1.png,3,Masculine
DALL-E 3,Soldier,60.png,1,DALL-E 3_Soldier_60_face1.png,5,Masculine
DALL-E 3,Soldier,61.png,1,DALL-E 3_Soldier_61_face1.png,3,Masculine
DALL-E 3,Soldier,62.png,1,DALL-E 3_Soldier_62_face1.png,3,Masculine
